official_name,short_name,ISO3,Region Name,Intermediate Region Name,Sub-region Name
Arab Republic of Egypt,Egypt,EGY,Africa,,Northern Africa
Republic of El Salvador,El Salvador,SLV,Americas,Central America,Latin America and the Caribbean
Republic of Estonia,Estonia,EST,Europe,,Northern Europe
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,Africa,Eastern Africa,Sub-Saharan Africa
Republic of Finland,Finland,FIN,Europe,,Northern Europe
French Republic,France,FRA,Europe,,Western Europe
Republic of the Gambia,Gambia,GMB,Africa,Western Africa,Sub-Saharan Africa
Georgia,Georgia,GEO,Asia,,Western Asia
Federal Republic of Germany,Germany,DEU,Europe,,Western Europe
Republic of Ghana,Ghana,GHA,Africa,Western Africa,Sub-Saharan Africa
Hellenic Republic,Greece,GRC,Europe,,Southern Europe
Republic of Guatemala,Guatemala,GTM,Americas,Central America,Latin America and the Caribbean
Co-operative Republic of Guyana,Guyana,GUY,Americas,South America,Latin America and the Caribbean
Republic of Haiti,Haiti,HTI,Americas,Caribbean,Latin America and the Caribbean
Republic of Honduras,Honduras,HND,Americas,Central America,Latin America and the Caribbean
Republic of India,India,IND,Asia,,Southern Asia
Republic of Indonesia,Indonesia,IDN,Asia,,South-eastern Asia
Ireland,Ireland,IRL,Europe,,Northern Europe
State of Israel,Israel,ISR,Asia,,Western Asia
Italian Republic,Italy,ITA,Europe,,Southern Europe
Jamaica,Jamaica,JAM,Americas,Caribbean,Latin America and the Caribbean
Hashemite Kingdom of Jordan,Jordan,JOR,Asia,,Western Asia
Republic of Kazakhstan,Kazakhstan,KAZ,Asia,,Central Asia
Republic of Kenya,Kenya,KEN,Africa,Eastern Africa,Sub-Saharan Africa
Republic of Kosovo,Kosovo,XKX,Europe,,Southern Europe
Kyrgyz Republic,Kyrgyz Republic,KGZ,Asia,,Central Asia
Republic of Latvia,Latvia,LVA,Europe,,Northern Europe
Republic of Liberia,Liberia,LBR,Africa,Western Africa,Sub-Saharan Africa
Republic of Lithuania,Lithuania,LTU,Europe,,Northern Europe
Republic of Malawi,Malawi,MWI,Africa,Eastern Africa,Sub-Saharan Africa
Malaysia,Malaysia,MYS,Asia,,South-eastern Asia
Republic of Malta,Malta,MLT,Europe,,Southern Europe
United Mexican States,Mexico,MEX,Americas,Central America,Latin America and the Caribbean
Mongolia,Mongolia,MNG,Asia,,Eastern Asia
Montenegro,Montenegro,MNE,Europe,,Southern Europe
Kingdom of Morocco,Morocco,MAR,Africa,,Northern Africa
Republic of Mozambique,Mozambique,MOZ,Africa,Eastern Africa,Sub-Saharan Africa
Republic of Namibia,Namibia,NAM,Africa,Southern Africa,Sub-Saharan Africa
Federal Democratic Republic of Nepal,Nepal,NPL,Asia,,Southern Asia
Kingdom of the Netherlands,Netherlands,NLD,Europe,,Western Europe
New Caledonia,New Caledonia,NCL,Oceania,,Melanesia
New Zealand,New Zealand,NZL,Oceania,,Australia and New Zealand
Federal Republic of Nigeria,Nigeria,NGA,Africa,Western Africa,Sub-Saharan Africa
Republic of Macedonia,Macedonia,MKD,Europe,,Southern Europe
Sultanate of Oman,Oman,OMN,Asia,,Western Asia
Republic of Panama,Panama,PAN,Americas,Central America,Latin America and the Caribbean
Republic of Paraguay,Paraguay,PRY,Americas,South America,Latin America and the Caribbean
Republic of Peru,Peru,PER,Americas,South America,Latin America and the Caribbean
Republic of the Philippines,Philippines,PHL,Asia,,South-eastern Asia
Portuguese Republic,Portugal,PRT,Europe,,Southern Europe
State of Qatar,Qatar,QAT,Asia,,Western Asia
Republic of Korea,South Korea,KOR,Asia,,Eastern Asia
Republic of Moldova,Moldova,MDA,Europe,,Eastern Europe
Romania,Romania,ROU,Europe,,Eastern Europe
Russian Federation,Russia,RUS,Europe,,Eastern Europe
Republic of Rwanda,Rwanda,RWA,Africa,Eastern Africa,Sub-Saharan Africa
Saint Lucia,St. Lucia,LCA,Americas,Caribbean,Latin America and the Caribbean
Kingdom of Saudi Arabia,Saudi Arabia,SAU,Asia,,Western Asia
Republic of Senegal,Senegal,SEN,Africa,Western Africa,Sub-Saharan Africa
Republic of Serbia,Serbia,SRB,Europe,,Southern Europe
Republic of Seychelles,Seychelles,SYC,Africa,Eastern Africa,Sub-Saharan Africa
Republic of Sierra Leone,Sierra Leone,SLE,Africa,Western Africa,Sub-Saharan Africa
Republic of South Africa,South Africa,ZAF,Africa,Southern Africa,Sub-Saharan Africa
Kingdom of Spain,Spain,ESP,Europe,,Southern Europe
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,Asia,,Southern Asia
State of Palestine,Palestine,PSE,Asia,,Western Asia
Kingdom of Sweden,Sweden,SWE,Europe,,Northern Europe
Republic of China,Taiwan,TWN,Asia,,Eastern Asia
Republic of Tajikistan,Tajikistan,TJK,Asia,,Central Asia
Kingdom of Thailand,Thailand,THA,Asia,Mekong,South-eastern Asia
Togolese Republic,Togo,TGO,Africa,Western Africa,Sub-Saharan Africa
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,Americas,Caribbean,Latin America and the Caribbean
Republic of Tunisia,Tunisia,TUN,Africa,,Northern Africa
Republic of Turkey,Turkey,TUR,Asia,,Western Asia
Turkmenistan,Turkmenistan,TKM,Asia,,Central Asia
Republic of Uganda,Uganda,UGA,Africa,Eastern Africa,Sub-Saharan Africa
Ukraine,Ukraine,UKR,Europe,,Eastern Europe
United Arab Emirates,United Arab Emirates,ARE,Asia,,Western Asia
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,Europe,,Northern Europe
United States of America,United States,USA,Americas,,Northern America
Oriental Republic of Uruguay,Uruguay,URY,Americas,South America,Latin America and the Caribbean
Republic of Uzbekistan,Uzbekistan,UZB,Asia,,Central Asia
Socialist Republic of Vietnam,Vietnam,VNM,Asia,Mekong,South-eastern Asia
